,Time_UTC,Lat,Lon,Distance,Speed,Acceleration,Hacc,HDOP,SVNum
2023-06-13 16:20:01.000,9,35.560546,139.546896,0.0,0.0,0.0,4.9,1.2,5.0
2023-06-13 16:20:01.100,9,35.560546,139.546896,0.0,0.0,0.0,4.7,1.2,5.0
2023-06-13 16:20:01.200,9,35.560546,139.546897,0.0,0.0,0.0,4.5,1.2,5.0
2023-06-13 16:20:01.300,9,35.560546,139.546897,0.0,0.0,0.0,4.3,1.2,5.0
2023-06-13 16:20:01.400,9,35.560546,139.546898,0.0,0.0,0.0,4.2,1.2,5.0
2023-06-13 16:20:01.500,9,35.560546,139.546898,0.0,0.0,0.0,4.1,1.2,5.0
2023-06-13 16:20:01.600,9,35.560546,139.546897,0.0,0.0,0.0,4.0,1.2,5.0
2023-06-13 16:20:01.700,9,35.560546,139.546897,0.0,0.07,0.092,3.9,1.2,5.0
2023-06-13 16:20:01.800,9,35.560546,139.546898,0.0,0.115,0.1,3.8,1.2,5.0
2023-06-13 16:20:01.900,9,35.560546,139.546898,0.0,0.17,0.102,3.7,1.2,5.0
2023-06-13 16:20:02.000,9,35.560546,139.546898,0.0,0.229,0.098,3.6,1.2,5.0
2023-06-13 16:20:02.100,9,35.560546,139.546898,0.0,0.285,0.087,3.6,1.2,5.0
2023-06-13 16:20:02.200,9,35.560546,139.546898,0.0,0.332,0.053,3.5,1.2,5.0
2023-06-13 16:20:02.300,9,35.560546,139.546898,0.0,0.361,0.025,3.5,1.2,5.0
2023-06-13 16:20:02.400,9,35.560546,139.546898,0.0,0.368,-0.005,3.4,1.2,5.0
2023-06-13 16:20:02.500,9,35.560546,139.546898,0.0,0.352,-0.031,3.3,1.2,5.0
2023-06-13 16:20:02.600,9,35.560546,139.546898,0.0,0.314,-0.051,3.3,1.2,5.0
2023-06-13 16:20:02.700,9,35.560546,139.546898,0.0,0.261,-0.062,3.2,1.2,5.0
2023-06-13 16:20:02.800,9,35.560546,139.546899,0.0,0.204,-0.066,3.2,1.2,5.0
2023-06-13 16:20:02.900,9,35.560546,139.546899,0.0,0.153,-0.061,3.1,1.2,5.0
2023-06-13 16:20:03.000,9,35.560546,139.546899,0.0,0.118,-0.049,3.1,1.2,5.0
2023-06-13 16:20:03.100,9,35.560546,139.546899,0.0,0.103,-0.032,3.0,1.2,5.0
2023-06-13 16:20:03.200,9,35.560546,139.546899,0.0,0.107,-0.014,3.0,1.2,5.0
2023-06-13 16:20:03.300,9,35.560546,139.546899,0.0,0.125,0.004,2.9,1.2,5.0
2023-06-13 16:20:03.400,9,35.560546,139.546899,0.0,0.15,0.02,2.9,1.2,5.0
2023-06-13 16:20:03.500,9,35.560546,139.546899,0.0,0.176,0.031,2.9,1.2,5.0
2023-06-13 16:20:03.600,9,35.560546,139.546899,0.0,0.197,0.039,2.8,1.2,5.0
2023-06-13 16:20:03.700,9,35.560546,139.5469,0.0,0.211,0.043,2.8,1.2,5.0
2023-06-13 16:20:03.800,9,35.560546,139.5469,0.0,0.219,0.043,2.8,1.2,5.0
2023-06-13 16:20:03.900,9,35.560546,139.5469,0.0,0.224,0.04,2.7,1.2,5.0
2023-06-13 16:20:04.000,9,35.560546,139.5469,0.0,0.232,0.033,2.7,1.2,5.0
2023-06-13 16:20:04.100,9,35.560546,139.5469,0.0,0.245,0.024,2.7,1.2,5.0
2023-06-13 16:20:04.200,9,35.560546,139.5469,0.0,0.263,0.013,2.6,1.2,5.0
2023-06-13 16:20:04.300,9,35.560546,139.5469,0.0,0.281,0.001,2.6,1.2,5.0
2023-06-13 16:20:04.400,9,35.560546,139.5469,0.0,0.294,-0.01,2.6,1.2,5.0
2023-06-13 16:20:04.500,9,35.560545,139.5469,0.0,0.295,-0.021,2.6,1.2,5.0
2023-06-13 16:20:04.600,9,35.560545,139.5469,0.0,0.282,-0.03,2.5,1.2,5.0
2023-06-13 16:20:04.700,9,35.560544,139.5469,0.0,0.257,-0.038,2.5,1.2,5.0
2023-06-13 16:20:04.800,9,35.560544,139.5469,0.0,0.223,-0.044,2.5,1.2,5.0
2023-06-13 16:20:04.900,9,35.560544,139.5469,0.0,0.188,-0.046,2.5,1.2,5.0
2023-06-13 16:20:05.000,9,35.560544,139.5469,0.0,0.157,-0.046,2.5,1.2,5.0
2023-06-13 16:20:05.100,9,35.560543,139.5469,0.0,0.136,-0.042,2.5,1.2,5.0
2023-06-13 16:20:05.200,9,35.560543,139.5469,0.0,0.126,-0.036,2.4,1.2,5.0
2023-06-13 16:20:05.300,9,35.560543,139.5469,0.0,0.124,-0.028,2.4,1.2,5.0
2023-06-13 16:20:05.400,9,35.560543,139.5469,0.0,0.127,-0.017,2.4,1.2,5.0
2023-06-13 16:20:05.500,9,35.560543,139.546901,0.0,0.13,-0.005,2.4,1.2,5.0
2023-06-13 16:20:05.600,9,35.560543,139.546901,0.0,0.13,0.009,2.4,1.2,5.0
2023-06-13 16:20:05.700,9,35.560543,139.546901,0.0,0.127,0.026,2.3,1.2,5.0
2023-06-13 16:20:05.800,9,35.560543,139.546902,0.0,0.124,0.046,2.3,1.2,5.0
2023-06-13 16:20:05.900,9,35.560543,139.546902,0.0,0.125,0.069,2.3,1.2,5.0
2023-06-13 16:20:06.000,9,35.560543,139.546902,0.0,0.138,0.094,2.3,1.2,5.0
2023-06-13 16:20:06.100,9,35.560543,139.546902,0.0,0.168,0.118,2.3,1.2,5.0
2023-06-13 16:20:06.200,9,35.560543,139.546902,0.0,0.219,0.14,2.3,1.2,5.0
2023-06-13 16:20:06.300,9,35.560543,139.546903,0.0,0.29,0.155,2.3,1.2,5.0
2023-06-13 16:20:06.400,9,35.560543,139.546903,0.0,0.376,0.158,2.3,1.2,5.0
2023-06-13 16:20:06.500,9,35.560544,139.546903,0.0,0.468,0.146,2.2,1.2,5.0
2023-06-13 16:20:06.600,9,35.560544,139.546903,0.0,0.556,0.116,2.2,1.2,5.0
2023-06-13 16:20:06.700,9,35.560545,139.546903,0.0,0.631,0.07,2.2,1.2,5.0
2023-06-13 16:20:06.800,9,35.560545,139.546903,0.0,0.681,0.013,2.2,1.2,5.0
2023-06-13 16:20:06.900,9,35.560546,139.546903,0.0,0.695,-0.046,2.2,1.2,5.0
2023-06-13 16:20:07.000,9,35.560546,139.546903,0.0,0.664,-0.099,2.2,1.2,5.0
2023-06-13 16:20:07.100,9,35.560546,139.546903,0.0,0.587,-0.139,2.2,1.2,5.0
2023-06-13 16:20:07.200,9,35.560547,139.546903,0.0,0.473,-0.175,2.2,1.2,5.0
2023-06-13 16:20:07.300,9,35.560547,139.546903,0.0,0.338,-0.166,2.1,1.2,5.0
2023-06-13 16:20:07.400,9,35.560547,139.546903,0.0,0.209,-0.154,2.1,1.2,5.0
2023-06-13 16:20:07.500,9,35.560548,139.546903,0.0,0.11,-0.131,2.1,1.2,5.0
2023-06-13 16:20:07.600,9,35.560548,139.546904,0.0,0.055,-0.099,2.1,1.2,5.0
2023-06-13 16:20:07.700,9,35.560548,139.546904,0.0,0.0,0.0,2.1,1.2,5.0
2023-06-13 16:20:07.800,9,35.560548,139.546904,0.0,0.085,-0.03,2.1,1.2,5.0
2023-06-13 16:20:07.900,9,35.560549,139.546904,0.0,0.14,-0.002,2.1,1.2,5.0
2023-06-13 16:20:08.000,9,35.560549,139.546904,0.0,0.194,0.019,2.0,1.2,5.0
2023-06-13 16:20:08.100,9,35.56055,139.546904,0.0,0.231,0.028,2.0,1.1,8.0
2023-06-13 16:20:08.200,9,35.56055,139.546904,0.0,0.242,0.042,2.0,1.1,8.0
2023-06-13 16:20:08.300,9,35.56055,139.546904,0.0,0.229,0.02,2.0,1.1,8.0
2023-06-13 16:20:08.400,9,35.560551,139.546904,0.0,0.204,0.009,2.0,1.1,8.0
2023-06-13 16:20:08.500,9,35.560551,139.546904,0.0,0.176,-0.002,2.0,1.1,8.0
2023-06-13 16:20:08.600,9,35.560551,139.546904,0.0,0.157,-0.008,2.0,1.1,8.0
2023-06-13 16:20:08.700,9,35.560551,139.546904,0.0,0.151,-0.008,1.9,1.1,8.0
2023-06-13 16:20:08.800,9,35.560551,139.546904,0.0,0.157,-0.002,1.9,1.1,8.0
2023-06-13 16:20:08.900,9,35.560551,139.546904,0.0,0.171,0.008,1.9,1.1,8.0
2023-06-13 16:20:09.000,9,35.560551,139.546903,0.0,0.187,0.022,1.9,1.1,8.0
2023-06-13 16:20:09.100,9,35.560551,139.546903,0.0,0.201,0.037,1.9,1.1,8.0
2023-06-13 16:20:09.200,9,35.560551,139.546903,0.0,0.212,0.052,1.9,1.1,8.0
2023-06-13 16:20:09.300,9,35.560551,139.546903,0.0,0.221,0.063,1.9,1.1,8.0
2023-06-13 16:20:09.400,9,35.560551,139.546903,0.0,0.233,0.069,1.8,1.1,8.0
2023-06-13 16:20:09.500,9,35.560551,139.546903,0.0,0.255,0.066,1.8,1.1,8.0
2023-06-13 16:20:09.600,9,35.560551,139.546903,0.0,0.292,0.055,1.8,1.1,8.0
2023-06-13 16:20:09.700,9,35.560551,139.546903,0.0,0.338,0.036,1.8,1.1,8.0
2023-06-13 16:20:09.800,9,35.560551,139.546903,0.0,0.385,0.013,1.8,1.1,8.0
2023-06-13 16:20:09.900,9,35.560551,139.546903,0.0,0.419,-0.012,1.8,1.1,8.0
2023-06-13 16:20:10.000,9,35.560551,139.546903,0.0,0.425,-0.034,1.8,1.1,8.0
2023-06-13 16:20:10.100,9,35.560552,139.546903,0.0,0.398,-0.053,1.7,1.0,8.0
2023-06-13 16:20:10.200,9,35.560552,139.546903,0.0,0.342,-0.067,1.7,1.0,8.0
2023-06-13 16:20:10.300,9,35.560552,139.546902,0.0,0.267,-0.075,1.7,1.0,8.0
2023-06-13 16:20:10.400,9,35.560553,139.546902,0.0,0.192,-0.077,1.7,1.0,8.0
2023-06-13 16:20:10.500,9,35.560554,139.546902,0.0,0.132,-0.071,1.7,1.0,8.0
2023-06-13 16:20:10.600,9,35.560554,139.546902,0.0,0.1,-0.058,1.7,1.0,8.0
2023-06-13 16:20:10.700,9,35.560554,139.546902,0.0,0.096,-0.04,1.7,1.6,8.0
2023-06-13 16:20:10.800,9,35.560554,139.546902,0.0,0.114,-0.021,1.7,1.6,8.0
2023-06-13 16:20:10.900,9,35.560554,139.546902,0.0,0.143,-0.003,1.7,1.6,8.0
2023-06-13 16:20:11.000,9,35.560554,139.546902,0.0,0.171,0.011,1.7,1.6,8.0
2023-06-13 16:20:11.100,9,35.560554,139.546902,0.0,0.19,0.019,1.6,1.6,8.0
2023-06-13 16:20:11.200,9,35.560554,139.546902,0.0,0.197,0.02,1.6,1.6,8.0
2023-06-13 16:20:11.300,9,35.560553,139.546902,0.0,0.192,0.017,1.6,1.6,8.0
2023-06-13 16:20:11.400,9,35.560553,139.546902,0.0,0.182,0.013,1.6,1.6,8.0
2023-06-13 16:20:11.500,9,35.560553,139.546902,0.0,0.172,0.012,1.6,1.0,8.0
2023-06-13 16:20:11.600,9,35.560553,139.546902,0.0,0.166,0.014,1.6,1.0,8.0
2023-06-13 16:20:11.700,9,35.560553,139.546902,0.0,0.167,0.019,1.6,1.0,8.0
2023-06-13 16:20:11.800,9,35.560553,139.546902,0.0,0.174,0.024,1.6,1.0,8.0
2023-06-13 16:20:11.900,9,35.560553,139.546901,0.0,0.19,0.028,1.6,1.0,8.0
2023-06-13 16:20:12.000,9,35.560553,139.546901,0.0,0.213,0.03,1.6,1.0,8.0
2023-06-13 16:20:12.100,9,35.560552,139.546901,0.0,0.239,0.029,1.6,1.0,8.0
2023-06-13 16:20:12.200,9,35.560552,139.546901,0.0,0.264,0.028,1.6,1.0,8.0
2023-06-13 16:20:12.300,9,35.560552,139.546901,0.0,0.28,0.029,1.5,1.0,8.0
2023-06-13 16:20:12.400,9,35.560552,139.546901,0.0,0.285,0.031,1.5,1.0,8.0
2023-06-13 16:20:12.500,9,35.560552,139.546901,0.0,0.28,0.034,1.5,1.0,8.0
2023-06-13 16:20:12.600,9,35.560553,139.546901,0.0,0.272,0.038,1.5,1.0,8.0
2023-06-13 16:20:12.700,9,35.560553,139.546901,0.0,0.269,0.041,1.5,1.0,8.0
2023-06-13 16:20:12.800,9,35.560553,139.5469,0.0,0.278,0.042,1.5,1.0,8.0
2023-06-13 16:20:12.900,9,35.560553,139.5469,0.0,0.301,0.04,1.5,1.0,8.0
2023-06-13 16:20:13.000,9,35.560553,139.5469,0.0,0.337,0.035,1.5,1.0,8.0
2023-06-13 16:20:13.100,9,35.560553,139.5469,0.0,0.377,0.028,1.5,1.0,8.0
2023-06-13 16:20:13.200,9,35.560553,139.5469,0.0,0.411,0.02,1.5,1.0,8.0
2023-06-13 16:20:13.300,9,35.560553,139.5469,0.0,0.43,0.011,1.5,1.0,8.0
2023-06-13 16:20:13.400,9,35.560553,139.5469,0.0,0.427,0.001,1.5,1.0,8.0
2023-06-13 16:20:13.500,9,35.560553,139.5469,0.0,0.406,-0.008,1.5,1.0,8.0
2023-06-13 16:20:13.600,9,35.560553,139.5469,0.0,0.374,-0.017,1.5,1.0,8.0
2023-06-13 16:20:13.700,9,35.560554,139.546899,0.0,0.341,-0.023,1.5,1.0,8.0
2023-06-13 16:20:13.800,9,35.560554,139.546899,0.0,0.317,-0.023,1.5,1.0,8.0
